Date,Country,Buyer,Seller,Techno,Project size (MW),Tenor (years),Offtaker,Remarque,Source,Location,Technology Remark,Offtaker category
2019-09-01,United States,Facebook,Apex Clean Energy,Onshore Wind,200,,,"Virtual PPA. Will be supplied by the Aurora wind project in Mountrail County, scheduled to be operational in December 2020.",Renewables Now,Texas,,Facebook
2019-08-01,United States,Gap Inc,Enel SpA,Onshore Wind,90,12,,"From the Sonris Solar Park in Fresno, California. Operational in 2022. Also includes 10MW of battery storage.",Renewables Now,North Dakota,,Gap Inc
2019-08-01,United States,San Jose Clean Energy,EDP Renewables,Solar,100,20,,Will be supplied by a new solar plant to be built in Maricopa County. Scheduled to begin operations in early 2021.,Solar Power World,California,,San Jose Clean Energy
2019-08-01,Ireland,Amazon,Invis Energy,Onshore Wind,23.3,,Corporate,,,,,Amazon
2019-08-01,Spain,Statkraft,BayWa Re,Solar,50,12,Utility,,,,,Statkraft
2019-08-01,Germany,Enovos Germany,N/A,Solar,4,10,Utility,"PPA was arranged by Centrica. Exact structure not disclosed (i.e. Centrica as sleeving counterparty or not). According to news, Enovos will continue to sell the output to industrials",https://renewablesnow.com,North-west of Germany. Operational Solarpark with COD in May 2019,,Enovos Germany
2019-07-01,United States,Microsoft,First Solar,Solar,150,20,,Will be supplied by the currently under construction 497MW Roadrunner facility in Upton County.,Renewables Now,Arizona,,Microsoft
2019-07-01,Portugal,Axpo,Blackrock,Solar,24,8,Utility,46 GWh/annum production.,,municipality of Salvaterra de Mago,,Axpo
2019-07-01,Norway,Hydro,Engie,Onshore Wind,208,25,Corporate,,,,,Hydro
2019-07-01,Spain,Alpiq,Luxcara,Solar,121,,Utility,Physical PPA,,"Seville, Andalusia",,Alpiq
2019-07-01,Spain,Statkraft,Aventron,Solar,50,5,Utility,"Start date July 2020, total sales volume of 330 GWh",,Toleo,,Statkraft
2019-07-01,Great Britain,Bristol Energy,Thrive Renewables,Onshore Wind,3.55,,Utility,,,,,Bristol Energy
2019-07-01,Great Britain,Danske Commodities,"jointly owned by Equinor (35%), Masdar (35%) and China Resources (30%)",Offshore Wind,281,15,Utility,"Danske Commodities said that it will take over balancing and trading of 281MW, which equates to 70% of the wind farm’s production, effective immediately.",,32 km off the coast of Norfolk,,Danske Commodities
2019-07-01,Netherlands,Eneco,N/A,Offshore Wind,383,15,Utility,operational in 2021,,Friesland,,Eneco
2019-07-01,Sweden,Sparbanken Skåne,SVEA Renewable Solar AB,Solar,5.8,10,Corporate,The Sparbanken Skåne Solar Park is selling around a third of its power under a 10-year power purchase agreement (PPA) to Swedish bank Sparbanken Skåne. More than half of the project’s output will be sold on the spot market and the remainder will be traded on the common electricity certificate market for renewable energy in Sweden and Norway.,,Sjöbo,,Sparbanken Skåne
2019-07-01,Germany,Axpo Deutschland,Maxsolar,Solar,1.5,5,Utility,"Developed and built by engineering, procurement and construction (EPC) service provider MaxSolar GmbH with investment from SEAC Holding GmbH",,Southern Bavaria,,Axpo Deutschland
2019-07-01,Great Britain,Danske Commodities,"jointly owned by Equinor (40%), Equitix (40%), and Green Investment Group (20%)",Offshore Wind,126,15,Utility,,,,,Danske Commodities
2019-07-01,Spain,Audax,Statkraft,Solar,,10,Utility,"Statkraft supplies Audax Renovables with 525 GWh electricity annually for a period of ten and a half years. The annual volume could supply 130,000 Spanish households with green energy for one full year. Audax Renovables will use it to supply SME and private consumers.",,,,Audax
2019-06-01,United States,Mondelez International,Enel Green Power,Solar,65,12,,"Will see the construction of the Arrow Canyon Solar Project in Clark County, Nevada. Online in December 2022.",Renewables Now,Texas,,Mondelez International
2019-06-01,United States,NV Energy,EDF Renewable North America,Solar,200,,,Will see the consturction of the Sonrisa Solar Park in Fresno County. Due to be operational in 2022.,Solar Power World,Nevada,"200 Solar, 75 Storage",NV Energy
2019-06-01,United States,East Bay Community Energy,EDP Renewables,Solar,100,20,,"Will be supplied by the Green River Wind project in Lee and Whiteside counties, was due to be operational in late 2019.",Renewables Now,California,"100 Solar, 30 storage",East Bay Community Energy
2019-06-01,United States,Illinois Municipal Electric Agency,Geronimo Energy,Onshore Wind,50,15,,From the Sand Fork Solar Project. To be completed in summer 2021,Renewables Now,Illinois,,Illinois Municipal Electric Agency
2019-06-01,United States,Target,Engie,Solar,89,15,,Virtual PPA. Will be supplied from a wind farm in Knox County.,Solar Power World,Texas,,Target
2019-06-01,United States,Crown Holdings,Longroad Energy,Onshore Wind,45,15,,Part of a portfolio of renewable projects purchased via LevelTen Energy,Renewables Now,Texas,,Crown Holdings
2019-06-01,United States,Starbucks,BayWa,Solar,46,,,Part of a portfolio of renewable projects purchased via LevelTen Energy,Solar Power World,,,Starbucks
2019-06-01,United States,Starbucks,Cypress Creek Energy,Solar,50,,,Part of a portfolio of renewable projects purchased via LevelTen Energy,Solar Power World,,,Starbucks
2019-06-01,United States,Starbucks,Allete Clean Energy,Onshore Wind,50,,,"New solar facility being constructed in Pecos County, Texas. Operational in 2021.",Solar Power World,,,Starbucks
2019-06-01,United States,Anheuser-Busch,Recurrent Energy,Solar,222,,,Will see the construction of the Three Waters wind park in Jackson County. Operational late 2021.,Solar Power World,Texas,,Anheuser-Busch
2019-06-01,United States,Minnesota Municipal Power Agency,Scout Clean Energy,Onshore Wind,200,,,Will see the construction of the Rancho Seco Solar II on the site of a former Nuclear Generating Station in Sacremento County. Operational by the end of 2020.,Renewables Now,Minnesota,,Minnesota Municipal Power Agency
2019-06-01,Spain,Holaluz,Fundeen,Solar,75,,Utility,The capacity will be divided into smaller plants in Spain and Portugal. Crowdfunded PPA.,,,,Holaluz
2019-06-01,Sweden,Axpo Nordic,Green Investment Group. Macquarie Group Ltd.,Onshore Wind,43,,Utility,Completion in late 2020. (project developer OX2),,Hornamossen,Onshore,Axpo Nordic
